"","Country","Continent","Region","Country.Code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Area"
"1","Afghanistan","Asia","ASIA (EX. NEAR EAST)","AFG",4,3,5,5,16,15,11,25,35,33,25,23,21,18,12,20,31,28,27,27,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62,65,65,647500
"2","Angola","Africa","SUB-SAHARAN AFRICA","AGO",NA,NA,NA,6,8,8,10,10,12,18,24,26,21,30,27,24,28,41,46,19,28,38,41,40,40,38,34,73,69,60,77,71,75,77,64,64,64,1246700
"3","Albania","Europe","EASTERN EUROPE","ALB",94,94,95,95,95,96,96,96,96,94,94,78,94,96,99,97,98,99,96,97,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98,99,98,28748
"4","Andorra","Europe","WESTERN EUROPE","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,89,90,98,96,97,99,99,98,93,96,99,99,99,99,99,96,97,97,98,468
"5","Arab World",NA,NA,"ARB",NA,32.0745753377529,33.8366386703754,37.3322006230523,48.0145273119358,58.8786323819303,64.9417664874454,68.3414104166729,73.5834457473128,80.3608292261426,81.1332638259962,74.67035430527,74.9627014537348,75.4135472031976,73.5179534439536,76.2575616380705,77.7982695249028,76.2507937939303,78.2187195252742,80.9034880669618,82.5680548564042,83.6846820578755,81.7467602420168,82.204438929817,83.2465486806352,84.1316578755301,83.5444320854093,84.6852785531729,85.650853902218,86.5620549205007,87.4357625578786,87.0384752049284,83.7956252395789,85.364703766313,84.5705165432379,83.1844757268313,84.2671589346317,NA
"6","United Arab Emirates","Asia","NEAR EAST","ARE",11,45,43,50,59,76,78,80,82,84,85,85,86,90,90,90,90,92,94,94,94,94,94,94,94,94,92,92,92,93,94,95,96,98,99,99,99,82880
"7","Argentina","America","LATIN AMER. & CARIB","ARG",44,49,58,61,62,66,67,75,80,80,87,80,81,81,82,85,83,88,84,86,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,2766890
"8","Armenia","Europe","C.W. OF IND. STATES","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,86,98,86,88,82,91,93,94,94,94,91,90,87,88,89,93,94,95,95,95,93,94,94,29800
"9","Antigua and Barbuda","America","LATIN AMER. & CARIB","ATG",54,79,79,99,94,99,96,97,98,99,99,94,99,99,99,99,99,99,99,99,95,97,98,99,97,99,99,99,99,99,98,99,98,99,99,99,99,443
"10","Australia","Oceania","OCEANIA","AUS",33,40,48,55,62,68,75,81,88,93,95,93,91,90,88,86,86,77,82,88,90,92,92,93,92,92,92,92,92,92,92,92,92,91,92,93,94,7686850
"11","Austria","Europe","WESTERN EUROPE","AUT",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,82,74,81,84,83,84,83,86,83,85,83,83,86,89,92,95,98,93,87,83870
"12","Azerbaijan","Europe","C.W. OF IND. STATES","AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,66,69,74,74,70,73,75,76,77,76,77,77,75,78,79,81,81,81,87,89,93,94,96,97,86600
"13","Burundi","Africa","SUB-SAHARAN AFRICA","BDI",NA,36,33,44,26,36,55,68,51,82,86,83,80,63,48,73,73,74,65,79,80,81,81,82,83,87,92,99,92,94,96,96,96,96,95,94,94,27830
"14","Belgium","Europe","WESTERN EUROPE","BEL",95,95,95,95,95,95,95,95,80,94,93,92,95,97,96,94,95,87,79,87,95,95,95,95,95,97,98,98,99,98,98,98,99,99,99,99,98,30528
"15","Benin","Africa","SUB-SAHARAN AFRICA","BEN",NA,NA,NA,NA,NA,17,17,25,30,48,74,69,73,75,81,67,66,66,70,74,78,76,75,73,72,70,74,82,75,79,76,75,80,77,78,82,82,112620
"16","Burkina Faso","Africa","SUB-SAHARAN AFRICA","BFA",NA,NA,NA,NA,NA,9,19,23,34,44,66,53,39,39,36,34,37,39,15,15,45,62,69,79,79,82,86,89,93,92,91,91,90,88,91,91,91,274200
