"","Country","Continent","Region","Country.Code","Density1960","Density1970","Density1980","Density1990","Density2000","Density2010","Density2017","Area","logArea"
"1","Aruba","America","LATIN AMER. & CARIB","ABW",280.886010362694,306.025906735751,311.378238341969,322.015544041451,470.740932642487,526.782383419689,545.40932642487,193,5.26269018890489
"2","Afghanistan","Asia","ASIA (EX. NEAR EAST)","AFG",13.8939783783784,17.1832015444015,20.4608030888031,18.9175505791506,31.0328277992278,44.4836555984556,54.872711969112,647500,13.3808740725558
"3","Angola","Africa","SUB-SAHARAN AFRICA","AGO",4.52649554824737,5.43545439961498,7.16282987085907,9.76292692708751,13.1875543434668,18.7447910483677,23.8904251223229,1246700,14.0360106183331
"4","Albania","Europe","EASTERN EUROPE","ALB",55.9621538889662,74.2826979268123,92.9454918603033,114.322457214415,107.451892305552,101.329518575205,99.9532837066926,28748,10.2663234785883
"5","Andorra","Europe","WESTERN EUROPE","AND",28.6559829059829,51.8717948717949,77.0662393162393,116.472222222222,139.722222222222,180.446581196581,164.455128205128,468,6.14846829591765
"6","Arab World",NA,NA,"ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","United Arab Emirates","Asia","NEAR EAST","ARE",1.11768822393822,2.84144546332046,12.577027027027,22.4441843629344,38.066180019305,99.7910714285714,113.418737934363,82880,11.3251490574933
"8","Argentina","America","LATIN AMER. & CARIB","ARG",7.45207615770775,8.66426131866464,10.1579347209322,11.829071267741,13.3931786229304,14.8989981531611,16.0002894947034,2766890,14.8332345037324
"9","Armenia","Europe","C.W. OF IND. STATES","ARM",62.889932885906,84.7337248322148,104.018489932886,118.730369127517,103.006308724832,96.5540604026846,98.3372483221476,29800,10.3022636724935
"10","American Samoa","Oceania","OCEANIA","ASM",100.56783919598,137.145728643216,163.100502512563,236.371859296482,289.050251256281,279.582914572864,279.603015075377,199,5.29330482472449
"11","Antigua and Barbuda","America","LATIN AMER. & CARIB","ATG",124.918735891648,151.462753950339,165.783295711061,150.555304740406,188.677200902935,213.681715575621,230.27539503386,443,6.09356977004514
